CN,EN
房间,Room
房间ID,Room ID
用户ID,User ID
流,Stream
流ID,Stream ID
推流,Publish stream / Stream Publishing
拉流,Play stream / Stream Playing
混流,Stream Mixing
CDN转推流,Relaying streams to CDN
预览,Preview
摄像头,camera
麦克风,microphone
静音,mute / unmute
本地预览,Local preview
远端视图,Remote view
视频画布,Video canvas
视图,View
角色,Role
主机,Host
协作者/嘉宾,Co-Host
观众,Audience
连接房间,Join room / Join the room
离开房间,Leave room / Leave the room
销毁房间,Destroy room
创建引擎,Create engine
登录房间,Login room
登出房间,Logout room
设置事件回调,Set event handler
开始预览,Start preview
停止预览,Stop preview
创建播放器,Create player
开始播放流,Start playing stream
停止播放流,Stop playing stream
停止推流,Stop publishing stream
发布流,Publish stream / Start publishing stream
麦克风,Microphone
摄像头,Camera
渲染,Render / Rendering
画布,Canvas
视图,View
镜像,Mirroring / Mirror
翻转,Flip
美颜,Face beautification / AI Effects
高级美颜,Advanced AI Effects
基础美颜,Basic AI Effects
自定义视频采集,Custom video capture
自定义视频渲染,Custom video render
音频帧,Audio frame
视频帧,Video frame
视频数据,Video data
音频数据,Audio data
媒体播放器,Media player
播放,Play / Playing
暂停,Pause
停止,Stop
进度,Progress
时长,Duration
音量,Volume
循环,Loop
倍速,Playback speed
画面质量,Video quality
清晰度,Definition / Quality
分辨率,Resolution
帧率,Frame rate / FPS
码率,Bitrate
编码格式,Codec
硬编码,Hardware encoding
软编码,Software encoding
采集,Capture / Capturing
渲染,Render / Rendering
前处理,Pre-processing
后处理,Post-processing
降噪,Noise suppression
回声消除,AEC (Acoustic Echo Cancellation)
空间音频,Spatial audio
3D 空间音效,3D spatial audio
声音位置,Sound position
音频场景,Audio scenario
视频场景,Video scenario
场景配置,Scenario config
通话模式,Call mode
直播模式,Live streaming mode
低延迟模式,Low latency mode
超低延迟模式,Ultra-low latency mode
网络质量,Network quality
设备质量,Device quality
统计信息,Statistics
延迟,Latency
丢包率,Packet loss rate
比特率,Bitrate
帧率,Frame rate
分辨率,Resolution
CPU 使用率,CPU usage
内存使用,Memory usage
性能,Performance
优化,Optimize
日志,Log
调试,Debug
控制台,Console
错误码,Error code
警告,Warning
提示,Tip / Hint
