"Product","CN","EN"
AI Effects,美颜,Face beautification
AI Effects,美白,Skin tone enhancement
AI Effects,磨皮,Skin smoothing
AI Effects,锐化,Image sharpening
AI Effects,红润,Cheek blusher
AI Effects,美型,Face shape retouch
AI Effects,大眼,Eyes enlarging
AI Effects,瘦脸,Face sliming
AI Effects,小嘴,Mouth shape adjustment
AI Effects,亮眼,Eyes brightening
AI Effects,瘦鼻,Nose slimming
AI Effects,收下巴,Chin slimming
AI Effects,白牙,Teeth whitening
AI Effects,美型,Face shape retouch
Video Call / Voice Call,屏幕共享,Screen sharing
Video Call / Voice Call,美音,Audio enhancement
Video Call / Voice Call,音效,Sound effects
Video Call / Voice Call,音乐音量,BGM volume
Video Call / Voice Call,人声音量,Voice volume
Video Call / Voice Call,变声,Voice changing
Video Call / Voice Call,原声,Original voice
Video Call / Voice Call,混响,Reverb
Video Call / Voice Call,混音,Audio mixing
Video Call / Voice Call,超分辨率,Super-resolution
Video Call / Voice Call,Token鉴权,Use Tokens for authentication
Video Call / Voice Call,场景化配置,"Scenario-based audio/video config
"
ZEGO Avatar,虚拟形象,Avatar
ZEGO Avatar,3D建模,3D modeling
ZEGO Avatar,Avatar表情随动,Facial expression mirroring
ZEGO Avatar,沉浸感,Immersive experience
ZEGO Avatar,动画阶段,Animation
ZEGO Avatar,服装配饰,Clothes and accessories
ZEGO Avatar,建模阶段,modelling 
ZEGO Avatar,脸部识别,Face recognition 
ZEGO Avatar,脸部特征,Facial features
ZEGO Avatar,临场感,sense of presence
ZEGO Avatar,滤镜,Filter
ZEGO Avatar,面部表情捕捉,Facial expression capture
ZEGO Avatar,全息,holography/holographic
ZEGO Avatar,人脸关键点,Keyspots
ZEGO Avatar,人脸检测,Face detection
ZEGO Avatar,声音驱动,Speech driven/ Speech simulation
ZEGO Avatar,身体躯干,body
ZEGO Avatar,实时表情捕捉,Real time expression capture
ZEGO Avatar,手动捏脸,Self-defined avatar
ZEGO Avatar,体感交互,Tangible Interaction
ZEGO Avatar,渲染,Rendering
ZEGO Avatar,原画阶段,Original manuscript design 
ZEGO Avatar,虚拟礼物,Virtual gifting
ZEGO Avatar,表情驱动,Facial expression mirroring
ZEGO Avatar,声音驱动,Speech simulation
ZEGO Avatar,手势识别,Gesture recognition
ZEGO Avatar,肢体驱动,Body pose recognition
In-app Chat,登录状态监控,Monitor the login status
Live Streaming,CDN直播,Live Streaming
Call Kit,开箱即用的视频聊天界面,Out-of-the-box video chat interface
Live Streaming Kit,开箱即用的直播接口,Out-of-the-box livestream interface
Video Conference Kit,多用户音视频会议,Multi-user audio/video conferences
Live Audio Room Kit,开箱即用的语聊房,Ready-to-use Live Audio Room
Cloud recording,单流录制 ,Single-stream recording
Super Board,互动白板,Interactive whiteboard
In-app Chat Kit,一对一聊天和群聊,One-on-one chat & group chat
Cloud recording,混流录制 ,Mixed-stream recording
Cloud recording,白板文件录制 ,Multi-sector recording
Cloud recording,混流布局 ,Set mixed-stream layout
Cloud recording,水平布局,Horizontal layout
Cloud recording,垂直布局,Vertical layout
Cloud recording,悬浮布局,Floating layout
Cloud recording,平分布局,Grid layout
Cloud recording,空流补白,Autocomplete video images
Cloud recording,视频截图 ,Capture screenshots
Cloud recording,动态 PPT 录制 ,PowerPoint recording
Cloud recording,第三方云存储 ,Third-party cloud storage
AI Effects,背景分割,Background segmentation
AI Effects,美妆,Beauty makeups
AI Effects,人脸检测,Face detection
AI Effects,挂件,Stickers
AI Effects,滤镜,Filters
Super Board,文件共享,Document sharing
Super Board,白板笔锋,Stroke effect
Super Board,自定义画笔光标,Custom cursor
Super Board,白板背景图,Custom background images
Super Board,插入图片元素,Insert images
Super Board,文件共享,File sharing
Super Board,翻页，滚动,"Page navigator, scrolling"
Super Board,缩放操作,Zooming
Super Board,动效上下步,Animation effects control
Super Board,文件缩略图,Thumbnails
Super Board,实时轨迹同步,Real-time track sync
Super Board,权限控制 API,Permission control APIs
Super Board,白板自适应,Adaptive whiteboard
Super Board,录制回放,Recording and playback
Super Board,图元操作与实时音视频同步,Real-time track sync
In-app Chat,会话模块,Session module
In-app Chat,房间模块,Room module
In-app Chat,群组模块,Group module
In-app Chat,消息模块,Message module
In-app Chat,消息优先级,Message priority
In-app Chat,历史消息存储,Store message history
In-app Chat,系统消息推送,Push system notifications
In-app Chat,呼叫邀请,Call invitation
In-app Chat,离线消息,Offline messages
In-app Chat,离线推送,Offline notifications
Video Call / Voice Call,常见音视频配置,Common video configuration
Video Call / Voice Call,房间连接状态,"Room connection status
"
Video Call / Voice Call,设置视频编码,"Configure video codec
"
Video Call / Voice Call,水印/截图,"
Watermark/Snapshot "
Video Call / Voice Call,基础美颜,"
Basic face beautification features "
Video Call / Voice Call,变声/混响/立体声,Voice change/Reverb/Stereo
Video Call / Voice Call,H265,H.265
Video Call / Voice Call,流质量监测,Streaming info monitoring
Video Call / Voice Call,流量控制,Traffic control
Video Call / Voice Call,通话前网络/设备测试,Pre-call network and device tests
Video Call / Voice Call,音量变化和音频频谱,Sound level and audio spectrum
Video Call / Voice Call,媒体补充增强信息(SEI),Supplemental enhancement information
Video Call / Voice Call,实时通讯,"Real-time messaging
"
Video Call / Voice Call,媒体播放器,Media player
Video Call / Voice Call,音效播放器,Audio effect player
Video Call / Voice Call,混流,Stream mixing
Video Call / Voice Call,同时推多条流,Publishing multiple streams
Video Call / Voice Call,流加密,"Stream encryption
"
Video Call / Voice Call,音轨/视频轨道替换,Replace the audio/video track
Video Call / Voice Call,本地媒体录制,"Local media recording
"
Video Call / Voice Call,加入多房间,Joining multiple rooms
Video Call / Voice Call,自定义视频采集,Custom video capture
Video Call / Voice Call,自定义音频采集和渲染,"Custom audio capture and rendering
"
Video Call / Voice Call,自定义视频渲染,Custom video rendering
Video Call / Voice Call,自定义视频前处理,Custom video pre-processing
Video Call / Voice Call,自定义音频处理,"Custom Audio Processing
"
