CN,EN
AI 美颜,AI Effects / AI Beauty
美颜,Beauty / Face beautification
美型,Face shape retouch
美肤,Skin enhancement
美白,Whitening / Skin tone enhancement
磨皮,Skin smoothing
锐化,Sharpening / Image sharpening
红润,Blusher / Cheek blusher
大眼,Eye enlarging / Eyes enlarging
瘦脸,Face slimming
小嘴,Mouth adjustment / Mouth shape adjustment
亮眼,Eye brightening / Eyes brightening
瘦鼻,Nose slimming
收下巴,Chin slimming
白牙,Teeth whitening
瘦额,Forehead slimming
瘦颧骨,Cheekbone slimming
细眉,Eyebrow thinning
亮眼,Eye brightening
祛痘,Acne removal
祛斑,Spot removal / Freckle removal
黑眼圈,Dark circles removal
皱纹,Wrinkle removal
平滑,Smoothing
滤镜,Filter
滤镜强度,Filter intensity
原图,Original / No filter
自然,Natural
苍白,Pale
灰暗,Gloomy
怀旧,Nostalgic / Retro
冷暖色调,Cold and warm tones
对比度,Contrast
饱和度,Saturation
亮度,Brightness
曝光,Exposure
自动美颜,Auto beauty
默认美颜,Default beauty
自定义美颜,Custom beauty
美颜级别,Beauty level
美颜参数,Beauty parameters
高级美颜,Advanced beauty
基础美颜,Basic beauty
美白强度,Whitening strength
磨皮强度,Smoothing strength
红润强度,Blusher strength
瘦脸强度,Face slimming strength
大眼强度,Eye enlarging strength
下巴强度,Chin slimming strength
调整,Adjustment
优化,Optimization
效果,Effect
预览,Preview
实时,Real-time
前后置摄像头,Front and rear camera
视频,Video
图片,Image
拍照,Take photo
录制,Record
美型,Body reshaping / Face shape
瘦身,Body slimming
长腿,Leg lengthening
瘦腰,Waist slimming
宽肩,Shoulder widening
头部调整,Head adjustment
小头,Head shrinking
大眼,Eye enlarging
眼距,Eye distance
眼角,Eye corner
嘴型,Mouth shape
嘴唇厚度,Lip thickness
鼻子,Nose
鼻梁高度,Nose bridge height
鼻翼宽度,Nostril width
人脸检测,Face detection
人脸跟踪,Face tracking
关键点,Key points / Landmarks
人脸识别,Face recognition
贴纸,Sticker
道具,Prop / Accessory
AR,AR (Augmented Reality)
3D,3D
虚拟道具,Virtual prop
美型,Shape retouch
