CN,EN
超级白板,Super Board
白板,Whiteboard
白板页,Whiteboard page
页,Page
新建页,New page
删除页,Delete page
翻页,Page turning / Switch page
上一页,Previous page
下一页,Next page
画笔,Brush / Pen
铅笔,Pencil
钢笔,Fountain pen
马克笔,Marker
荧光笔,Highlighter
橡皮擦,Eraser
文本,Text
形状,Shape
线条,Line
箭头,Arrow
矩形,Rectangle
圆形,Circle / Oval
三角形,Triangle
图片,Image
上传,Upload
插入,Insert
删除,Delete
撤销,Undo
重做,Redo / Repeat
清空,Clear
颜色,Color
填充颜色,Fill color
边框颜色,Stroke color / Border color
粗细,Thickness / Size
透明度,Opacity / Transparency
字体,Font
字号,Font size
加粗,Bold
斜体,Italic
下划线,Underline
对齐,Alignment
左对齐,Left align
居中对齐,Center align
右对齐,Right align
移动,Move / Pan
缩放,Zoom / Scale
旋转,Rotate / Rotation
手型,Hand tool / Pan tool
选择,Select / Selection
选中,Selected
取消选择,Deselect
全选,Select all
复制,Copy
粘贴,Paste
剪切,Cut
保存,Save
导出,Export
白板背景,Whiteboard background
背景颜色,Background color
背景图片,Background image
背景模板,Background template
网格,Grid
点阵,Dot grid
网格线,Grid lines
无,None / Blank
画笔颜色,Brush color
画笔粗细,Brush size
图形,Shape
基本图形,Basic shape
自定义,Custom
文件,File
文档,Document
PPT,PPT / Presentation
PDF,PDF
图片,Image
白板操作,Whiteboard operation
添加白板,Add whiteboard
删除白板,Remove whiteboard
切换白板,Switch whiteboard
白板ID,Whiteboard ID
房间ID,Room ID
用户ID,User ID
权限,Permission
只读,Read-only
可编辑,Editable
管理员,Admin
所有者,Owner
协作,Collaboration
多端多端,Multi-platform / Multi-device
同步,Sync / Synchronization
实时同步,Real-time sync
光标,Cursor
其他用户,Other users
用户名,Username
光标位置,Cursor position
操作历史,Operation history
历史记录,History
历史版本,Version history
回滚,Rollback
快照,Snapshot
白板快照,Whiteboard snapshot
全屏,Fullscreen
退出全屏,Exit fullscreen
最小化,Minimize
关闭,Close
工具栏,Toolbar
侧边栏,Sidebar / Side panel
顶部栏,Top bar
底部栏,Bottom bar
菜单,Menu
选项,Option
设置,Settings
