CN,EN
互动直播 UIKit,Live Streaming Kit
直播,Live streaming / Live stream
主播,Host / Broadcaster
连麦,Co-host / Guest interaction
观众,Audience / Viewer
直播间,Live room / Live streaming room
开始直播,Start live streaming
结束直播,Stop live streaming / End live streaming
进入直播间,Enter live room / Join live room
离开直播间,Leave live room
推流,Publish stream
拉流,Play stream
观看人数,Viewer count / Concurrent viewers
点赞,Like
礼物,Gift
发送弹幕,Send comment / Send barrage
弹幕,Comment / Bullet comment
聊天,Chat
聊天室,Chatroom
消息,Message
禁言,Mute
踢出,Remove / Kick out
美颜,Beauty filter / AI Effects
滤镜,Filter
贴纸,Sticker
背景,Background
镜像,Mirror
摄像头切换,Switch camera
前置摄像头,Front camera
后置摄像头,Rear camera / Back camera
闪光灯,Flashlight / Flash
对焦,Focus / Auto-focus
曝光,Exposure
缩放,Zoom
静音,Mute / Unmute
耳返,Ear return / Monitoring
音乐,Music
背景音乐,BGM / Background music
音效,Sound effect
伴奏,Accompaniment / Karaoke
混音,Audio mixing
音量,Volume
人声音量,Voice volume
音乐音量,Music volume / BGM volume
变声,Voice changing
混响,Reverb
降噪,Noise reduction / Noise suppression
画面质量,Video quality
分辨率,Resolution
帧率,Frame rate / FPS
码率,Bitrate
清晰度,Definition / Quality
标清,SD
高清,HD
全高清,Full HD
超高清,UHD / 4K
自适应,Adaptive
网络状态,Network status
上行,Uplink
下行,Downlink
比特率,Bitrate
丢包率,Packet loss rate
延迟,Latency
秒开,Instant start
首帧时间,Time to first frame / TTFF
直播封面,Live cover / Live thumbnail
直播标题,Live title
直播公告,Live announcement
屏幕共享,Screen sharing
区域截图,Capture region / Screen capture
窗口选择,Window selection
多路流,Multi-stream
主码流,Main stream
副码流,Sub stream / Aux stream
转码,Transcoding
录制,Recording
截图,Screenshot / Snapshot
直播地址,Streaming URL / Stream URL
推流地址,Publish URL / Push URL
播放地址,Play URL / Pull URL
CDN,CDN
CDN 地址,CDN URL
CDN 转推,Relay to CDN
录制回放,Recording playback
连麦申请,Co-host request / Guest request
同意,Accept / Approve
拒绝,Decline / Reject
结束连麦,End co-host / Stop co-hosting
观众连麦,Audience co-host / Viewer co-host
主播,Host
连麦者,Co-host / Guest
PK,PK / Battle
连麦 PK,Co-host battle / PK battle
跨房 PK,Cross-room PK / Inter-room PK
开始 PK,Start PK / Start battle
结束 PK,End PK / End battle
PK 倒计时,PK countdown
PK 分数,PK score / Battle score
惩罚,Punishment
礼物,Gift
礼物效果,Gift effect
礼物动画,Gift animation
礼物列表,Gift list / Gift panel
发送礼物,Send gift
背包,Backpack / Inventory
余额,Balance
充值,Top up / Recharge
排行榜,Leaderboard / Ranking
礼物榜,Gift leaderboard
贡献榜,Contribution leaderboard
主播榜,Host leaderboard
日榜,Daily leaderboard
周榜,Weekly leaderboard
月榜,Monthly leaderboard
总榜,All-time leaderboard / Total leaderboard
