CN,EN
即时通讯,In-app chat / IM
消息,Message
会话,Conversation
单聊,One-on-one chat / 1v1 chat
群聊,Group chat
聊天室,Chatroom
房间,Room
群组,Group
用户,User
好友,Friend
好友请求,Friend request
黑名单,Blacklist
消息类型,Message type
文本消息,Text message
富文本消息,Rich text message
图片消息,Image message
语音消息,Audio message / Voice message
视频消息,Video message
文件消息,File message
自定义消息,Custom message
命令消息,Command message
系统消息,System message
会话列表,Conversation list
未读消息,Unread message
未读数,Unread count
已读回执,Read receipt
消息撤回,Message recall / Revoke message
消息删除,Message delete
消息转发,Message forward
消息复制,Message copy
正在输入,Typing status
在线状态,Online status
离线消息,Offline message
消息漫游,Message roaming
历史消息,History message
消息搜索,Message search
群成员,Group member
群主,Group owner
管理员,Admin
成员,Member
加群申请,Join group request
邀请入群,Invite to group
踢出群组,Remove from group
解散群组,Disband group
退出群组,Leave group / Quit group
群公告,Group notice
群名称,Group name
群头像,Group avatar
群ID,Group ID
群类型,Group type
公开群,Public group
私密群,Private group
音视频房间呼叫,Audio/Video room call
信令令牌,Signaling token
高级消息功能,Advanced messaging features
消息扩展,Message extension
消息回复,Message reply
消息表情回复,Message reaction
推送通知,Push notification
离线推送,Offline push
消息抄送,Message relay
回调,Callback / Webhook
服务器端,Server-side
客户端,Client-side
连接状态,Connection status
连接成功,Connected
连接失败,Connection failed
连接断开,Disconnected
重连,Reconnect
心跳,Heartbeat
超时,Timeout
频率限制,Rate limit
限流,Flow control
域名,Domain
APP ID,App ID
秘钥,Secret
Token 令牌,Token
用户 ID,User ID
昵称,Nickname
头像,Avatar
扩展字段,Extended field
