CN,EN
音视频通话 UIKit,Call Kit
UIKit,UIKit
通话,Call
拨打电话,Make call / Start call
接听电话,Answer call / Accept call
拒绝电话,Reject call / Decline call
结束通话,End call / Hang up
取消通话,Cancel call
呼叫界面,Call UI
被叫,Called user / Callee
主叫,Calling user / Caller
通话中,In call / During call
通话时长,Call duration
通话记录,Call record / Call history
用户ID,User ID
用户名,Username / User name
通话ID,Call ID
通话类型,Call type
一对一通话,1-on-1 call / One-to-one call
多人通话,Multiparty call / Group call
语音通话,Voice call / Audio call
视频通话,Video call
邀请邀请,Invite user
通话成员,Call member / Call participant
成员管理,Member management
移除成员,Remove member
静音,Mute / Unmute
免提,Speakerphone / Hands-free
摄像头,Camera
切换摄像头,Switch camera
前置摄像头,Front camera
后置摄像头,Rear camera / Back camera
本地视图,Local view
远端视图,Remote view
画面布局,Video layout
悬浮窗,Picture-in-Picture / PiP
最小化,Minimize
全屏,Fullscreen
网络提示,Network status
信号强度,Signal strength
呼叫超时,Call timeout
忙线,Line busy
无人应答,No answer
通话质量,Call quality
高清,HD
超清,UHD
音频设备,Audio device
扬声器,Speaker
听筒,Earpiece / Receiver
蓝牙,Bluetooth
耳机,Headset / Earphones
音频路由,Audio route
视频设备,Video device
美颜,Beauty filter / AI Effects
设置,Settings
配置,Config
自定义,Customize
回调,Callback
事件,Event
通知,Notification
